label,decoder_name,noise_label,count,p50_ms,p95_ms,p99_ms,mean_ms,max_ms
surface d=3 · pymatching,pymatching,1×,2000,0.0032090028980746865,0.0034580007195472717,0.0052504235645756125,0.0033125310037576128,0.027791997126769274
surface d=5 · pymatching,pymatching,1×,2000,0.0031669987947680056,0.004541994712781161,0.005958425172138959,0.003387857934285421,0.017958001990336925
surface d=7 · pymatching,pymatching,1×,2000,0.0032090028980746865,0.005041998520027846,0.009252497693523763,0.0036551150187733583,0.05137499829288572
"q102 [[102,22,9]] · BP+OSD-0",bposd,1×,2000,0.0865834990690928,150.55375900483335,16153.014509154307,551.0763051939612,25525.503874996502
surface d=3 · pymatching,pymatching,5×,2000,0.0032910029403865337,0.004419050674187018,0.005458841333165764,0.0034055820069625042,0.023458000214304775
surface d=5 · pymatching,pymatching,5×,2000,0.003334003849886358,0.005415997657109983,0.008459672390017657,0.003808153953286819,0.01562500256113708
surface d=7 · pymatching,pymatching,5×,2000,0.0038750004023313522,0.008339244595845225,0.022137921114335758,0.004807642944797408,0.03729199670488015
"q102 [[102,22,9]] · BP+OSD-0",bposd,5×,2000,99.87968750647269,15300.384426457458,17566.565558011203,2249.8931921330727,27013.92099999066
